gm_code,gm_naam,sted,aant_inw,opp_land,g_gas_tot_2010,g_gas_tot_2011,g_gas_tot_2012,g_gas_tot_2013,g_gas_tot_2014,p_stad_ver_2010,p_stad_ver_2011,p_stad_ver_2012,p_stad_ver_2013,p_stad_ver_2014
GM0823,Oirschot,4,18199,10178,2300,1800,1900,2000,1550, , , , ,
GM0824,Oisterwijk,4,25835,6386,2300,1750,1900,2000,1450, , , , ,
GM0826,Oosterhout,2,54018,7149,1900,1450,1550,1600,1250, , ,0,0,0
GM0844,Schijndel,3,23625,4153,2050,1650,1700,1850,1400, , , , ,
GM0845,Sint-Michielsgestel,4,28403,5843,2400,1850,2000,2150,1550, , , , ,
GM0846,Sint-Oedenrode,4,17896,6441,2200,1700,1750,1900,1450, , , , ,
GM0847,Someren,4,18914,8027,2250,1750,1850,2050,1500, , , , ,
GM0848,Son en Breugel,4,16425,2595,2450,1950,1950,2150,1600, , , , ,
GM0855,Tilburg,1,212941,11721,1400,1050,1100,1150,850,26,25,29.2,25.6,24.4
GM0856,Uden,3,41247,6705,1950,1550,1600,1750,1300, , , , ,
GM0858,Valkenswaard,3,30262,5490,2100,1600,1700,1850,1350, , , , ,
GM0860,Veghel,3,38078,7816,2100,1600,1700,1850,1450, , , , ,
GM0861,Veldhoven,2,44317,3173,2000,1600,1600,1750,1300, , ,0,0,0
GM0865,Vught,3,25973,3350,2150,1700,1800,1900,1450, , , , ,
GM0866,Waalre,4,17023,2239,2550,2100,2000,2200,1650, , , , ,
GM0867,Waalwijk,3,47021,6461,2000,1550,1700,1750,1300, , , , ,
GM0879,Zundert,4,21488,12070,2400,1800,2000,2150,1600, , , , ,
GM0881,Onderbanken,5,7869,2116,2500,1950,2100,2200,1650, , , , ,
GM0882,Landgraaf,3,37465,2458,2150,1600,1700,1800,1350, , , , ,
GM0888,Beek,4,16068,2103,2400,1750,1900,2000,1450, , , , ,
GM0889,Beesel,4,13388,2808,2100,1600,1700,1850,1350, , ,0,0,0
GM0893,Bergen (L.),5,13090,10347,2400,1800,1900,2000,1500, , , , ,
GM0899,Brunssum,2,28448,1721,2000,1450,1600,1700,1250, , , , ,
GM0907,Gennep,4,17085,4766,2300,1750,1850,1900,1400, , , , ,
GM0917,Heerlen,2,87406,4497,1850,1400,1500,1600,1200, , ,0,0,0
GM0928,Kerkrade,2,46023,2191,2050,1600,1700,1800,1300, , , , ,
GM0935,Maastricht,2,122533,5634,1800,1350,1500,1550,1150, , ,0,0,0
GM0938,Meerssen,4,19040,2696,2500,1950,2100,2200,1600, , , , ,
GM0946,Nederweert,4,16793,9986,2350,1800,1900,2050,1500, , , , ,
GM0951,Nuth,4,15425,3310,2500,1950,2050,2150,1600, , , , ,
GM0957,Roermond,2,57010,6084,2000,1500,1600,1700,1250, , ,0,0,0
GM0962,Schinnen,5,12960,2406,2500,1900,2050,2250,1600, , , , ,
GM0965,Simpelveld,4,10741,1603,2350,1750,1900,2100,1500, , , , ,
GM0971,Stein,4,25064,2110,2250,1700,1800,2000,1400, , , , ,
GM0981,Vaals,4,9632,2389,2150,1650,1750,1850,1400, , , , ,
GM0983,Venlo,2,100371,12445,2000,1550,1700,1750,1300, , , , ,
GM0984,Venray,3,43291,16332,2200,1700,1800,1900,1400, , , , ,
GM0986,Voerendaal,4,12482,3151,2550,1950,2100,2200,1600, , , , ,
GM0988,Weert,3,49100,10442,2250,1600,1750,1850,1350, , , , ,
GM0994,Valkenburg aan de Geul,4,16518,3673,2350,1750,1950,2100,1500, , , , ,
GM1507,Horst aan de Maas,4,41675,18871,2400,1850,1950,2050,1500, , , , ,
GM1640,Leudal,5,36140,16277,2450,1850,1950,2100,1550, , , , ,
GM1641,Maasgouw,5,23757,4571,2500,1950,2050,2100,1550, , , , ,
GM1652,Gemert-Bakel,4,29647,12222,2150,1700,1750,1900,1400, , , , ,
GM1658,Heeze-Leende,4,15650,10401,2500,2000,2000,2150,1600, , , , ,
GM1659,Laarbeek,4,21965,5536,2250,1750,1800,1950,1450, , ,0,0,0
GM1667,Reusel-De Mierden,4,12811,7792,2300,1900,1900,2050,1550, , , , ,
GM1669,Roerdalen,5,20686,8822,2400,1850,2000,2100,1550, , , , ,
GM1684,Cuijk,4,24608,5115,2050,1550,1650,1800,1300, , , , ,
GM1685,Landerd,5,15303,7036,2350,1850,1950,2050,1550, , , , ,
GM1702,Sint Anthonis,5,11594,9927,2250,2100,2100,2150,1600, , , , ,
GM1706,Cranendonck,4,20660,7636,2350,1900,1900,2050,1550, , , , ,
GM1711,Echt-Susteren,4,31943,10311,2350,1800,1900,2000,1500, , , , ,
GM1719,Drimmelen,4,26815,9546,2200,1750,1900,1950,1400, , , , ,
GM1721,Bernheze,4,29880,8973,2300,1750,1900,2000,1500, , , , ,
GM1723,Alphen-Chaam,5,9924,9303,2650,2050,2200,2350,1750, , , , ,
GM1724,Bergeijk,5,18253,10101,2450,1950,2100,2150,1600, , , , ,
GM1728,Bladel,4,19966,7537,2250,1800,1800,1950,1400, , , , ,
GM1729,Gulpen-Wittem,5,14508,7318,2550,1900,2050,2250,1500, , , , ,
GM1771,Geldrop-Mierlo,3,38893,3101,2050,1600,1750,1850,1350, , , , ,
GM1883,Sittard-Geleen,3,93555,7901,2050,1550,1700,1800,1300, , ,0,0,0
GM1894,Peel en Maas,4,43316,15937,2400,1850,2000,2100,1500, , , , ,
GM1903,Eijsden-Margraten,5,25123,7743, ,2050,2150,2300,1700, , , , ,
GM0744,Baarle-Nassau,5,6611,7616,2600,1950,2050,2200,1600, , , , ,
